competitor,page_name,page_id,target_country,library_id,ad_status,started_running,platforms,media_type,creative_count,creative_index_in_ad,creative_image_url,creative_video_url,aspect_ratio,cta_text,cta_type,ad_title,ad_body,caption,link_url,display_url,collation_count,is_active,spend,impressions,scraped_at
EWA,EWA: Learn Languages,165004157332215,IN,2198488184237175,Active,14 May 2026,,Video,1,0,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/685950630_1665653064580883_7650300837837725227_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TRpAG5OV4IwQ7kNvwESW-Fe&_nc_oc=AdqDFNf6saTjdRSflM4Jwh9OuLsf7UH75Y4hwPVfVH2s7DmSCp0Jp0I0mzaSAvn6ws0CeiDhyp1zJTbIhDbgqNPE&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af9JlodKu2NnycMWSdkHttZtJqUgAQhqBYJixU7PqmIwAQ&oe=6A2754DE,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQMPcAvGrS0wHY9fuXRkH9TSzhiVNrMcBlb6vdUIMSHjzLFu70lp3gXVCaOhIz4fAE2SVHYUHNr8Re9Y1blBi8KJ-WVSMq98LsihtcGC-Q.mp4?_nc_cat=109&_nc_oc=Adq0dpygPcbg2JOnyu6R4IbJaV1KWkNTKrOfuVky6dt7y2-w-xggy9gMe2b1-3-TlihcEck6ac758ZV_8kRYFt7d&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=BZjA9RHE1a0Q7kNvwF2qUzj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTUxMTgxMzM4Mzk0NjA3OSwiYXNzZXRfYWdlX2RheXMiOjMzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8mRxscvbBKILvIl0C4GTmqXg3RUMZE2ljruc1qyx6ZZQ&oe=6A275A99,9:16,,,,,,https://www.facebook.com/appEWA/,,4,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,2112022572700228,Active,13 May 2026,,Image,1,0,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/698168819_1916116925775241_2200380643543235761_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tE0VBo7i_UQQ7kNvwHbI3e-&_nc_oc=AdpLafo83IYk_DFKizKAaFIOWjoIlpQ_brZRB8DEv2A88UE_f9_iXs7Pg5zpohTx1XHV60LGE2SRy6k70jARexPv&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af8oRVD1gGpUZHAeqFzxYDvcYwIF5TK5diX5rJVwrej_4w&oe=6A2760E8,,4:5,,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,950438608040746,Active,20 May 2026,,Image,1,0,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/702910877_1295427536121138_5478986717682199349_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=1L2jcDsUH2kQ7kNvwHqB1rZ&_nc_oc=AdpdWnHPGOpg08Lw9G6Hu0pSDFKgK16UoihPoYfdudu-wC5xXHdrEositXmORqzRZVKqTA1KRnUzuRmr7E5ujkad&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af_Ao6TRkiYbhhTaxbvNeCqTAjdusS5V1pTOiWucDA7NVg&oe=6A277F4C,,4:5,,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,2162804341157185,Active,5 Apr 2026,,Video,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/666402682_946426194423871_691432210625794738_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Z7YM8bAEobEQ7kNvwEp5Riu&_nc_oc=AdqeUe8G9uYXWoIG-YVNV_rcGcwj15Tl-sRzN93lWUHETns-iAsXZSMW4zOrgRHu1kMiJpLDuKU2jIasLqw9zm4f&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af9G4wrgdnzyRzm6DXjmZqxUjjjB0rzo4DjcnH3ZrHPQrQ&oe=6A277E4B,https://scontent.fblr1-4.fna.fbcdn.net/o1/v/t2/f2/m412/AQMDx5OnEKIdSubNoKw_mAoE-JCJeuQaTx1TqeWqGaja8n_FLv48eFvn1lVzeq8NuhgXYNxSiE6AXyt-hUae1cVUULlNoQgDDca7KS_Ccw.mp4?_nc_cat=104&_nc_oc=AdoPKjrpn_2nC8EtkhUzPIje8HdDFBFSsyQldPrwMY60GLkOoj5XDvJiX4SQkDv211WGwI4lvshNgdcRMTtwyzXA&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-4.fna.fbcdn.net&_nc_ohc=45eTIilQ-5AQ7kNvwFCREZA&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTI1NTA4MjEwNDc2NDcyLCJhc3NldF9hZ2VfZGF5cyI6NjQsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoyMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_711Xb-8Qfj2k8u7fe1UFjBRc-fzHKwXElWqdCOtpfpg&oe=6A2778FA,9:16,,,,,,https://www.facebook.com/appEWA/,,9,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,4361551850785487,Active,14 May 2026,,Video,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/684805815_2767718846920836_259600662867792245_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=DvD_B3dIf7QQ7kNvwHcgvVd&_nc_oc=AdpDDISoWwsd8mKLaqI8sIR4TWrzhasj4z-KaeYIIdtFyQNG7W4C7wy3ufPAT6-ykmYEqz2DgtkACTNUy0oBBqA3&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af_CPXbgpGv_Ai-bZb2knjhHQLbLezTIBMk2xreJOMnrgw&oe=6A277E6C,https://scontent.fblr1-5.fna.fbcdn.net/o1/v/t2/f2/m412/AQO4sLxF-sb5yAsEq0tWmX22kvx3SBbVNWbW16Q7UOtM9Jtp_iBg9rttZEQsDNyz_hJ8dGHs4-wRMh8T3yG-tPSBox9up5wrrgbfMLF-FA.mp4?_nc_cat=103&_nc_oc=AdqPIdfJGzG1BMYMcaq3FQjNebTQ_Dj7Tpaec6hI-zeZ8diy4Iv-r71IHhNA23NJbVwdl6yaRLoJDzwm4YlzlwDf&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-5.fna.fbcdn.net&_nc_ohc=SG6ahI5p6KwQ7kNvwFFUz-i&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjE2MzM4OTgwNzc5ODAwMSwiYXNzZXRfYWdlX2RheXMiOjMzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9vuRNtRAlgDfYXXyNZlIx9rlWgVoU6A_rDVNSvezxNnQ&oe=6A27835B,9:16,,,,,,https://www.facebook.com/appEWA/,,3,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,1656821338849771,Active,23 Apr 2026,,Image,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/677737647_1657842548703136_1021330061859220330_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=A_FdxvoFg_EQ7kNvwFUY0c8&_nc_oc=AdrCWoTlVAMp6MSA-ycaPOsIU6HaFl2iIsrJF9Na50oW8tWzx8BXy5awxkMynTVUQs9O_fey4_GACS-Oo-f68aep&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af91rvow8qzP8xgi2rRoUkmPh7pZVaQbrCXzrFL5GAKOsQ&oe=6A275F32,,4:5,Learn more,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,1645953743338925,Active,12 May 2026,,Image,1,0,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/696217478_1960163551268824_4122871995119285791_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=YF2l1Q0u5sYQ7kNvwHe-AK8&_nc_oc=AdpdAzt6R8X3Biy4_h8NKU3_oMD2G4IZwnLrhqSX-qhV07BiCRL2ARUW5EM9gd-1_7qPmW2JufeT8P6dJ6GoiQwb&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af9ZuGTklcA1u-XiyOBc3E-DYjglkJ8fACLalLNWam32Pw&oe=6A27617C,,4:5,Learn more,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,939712608793546,Active,5 Apr 2026,,Image,1,0,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/661080380_1443572927783422_4298199577781271493_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=F51e1dqJXvEQ7kNvwEVkYr8&_nc_oc=AdpF-WNWGy8xj_upeuMa_6l3Kod88KMiCfy9ZHFqgWVnFTLtwLUecEG7uuWPJFhkYnVG1CIoZjTWBZ3z8omhbxtY&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af81AGAiuIFUM18zp7D_QBFx7855GO24RXXh4HSRR7Vvgg&oe=6A278BDB,,4:5,,,,,,https://www.facebook.com/appEWA/,,4,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,35692433970401655,Active,14 May 2026,,Video,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/701220614_831871806640353_913594628811347124_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=I0rw3NNOTCcQ7kNvwEnpyth&_nc_oc=Ado8HS2j2Bw8a622UZHBJm1Yn4Udv9VUy-S-XE7VRPeI5g7rUVv1hV9Y-oMeOoU1V4QyvZQ1B-RexQydtYPVsON1&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af_fj8Cwf_-yJ-z2LcYtgnFkYAFA4_2qIkXK6Sf8zWbP4w&oe=6A2756FB,https://scontent.fblr1-4.fna.fbcdn.net/o1/v/t2/f2/m412/AQOpGnXcX1FhcrLJWh2DOngAcUJEwYdEEnc39P5O5Px1os4DFZuCUw6499sCiDdKhIvJ_ImMBtjx-cyCdeu9MOGtP_Ks2cf-LZGm7pdj5g.mp4?_nc_cat=104&_nc_oc=Ado3iVuBEpDe5WneTXYINaC9q98GAZ-ggVXDrhSTp6NbsZwzctBMjzr3eRMpY1bmrRj9lXFVI9rjyAL4UiAymlbK&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-4.fna.fbcdn.net&_nc_ohc=HbHAAHZp3CsQ7kNvwEILt-7&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTY1MTE2NDcxMjgwNjgxNCwiYXNzZXRfYWdlX2RheXMiOjMwLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6MjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9My6puCafKuhLFxYVcI4T1Gg6Fxz1hgWudF-1yOgXprg&oe=6A27631A,9:16,Learn more,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.306Z
EWA,EWA: Learn Languages,165004157332215,IN,4347063538906565,Active,20 May 2026,,Image,1,0,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/702525355_1763757368321082_2009472119934914563_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=icTq2XC_T8wQ7kNvwHbQr03&_nc_oc=AdpJBLBkJqX_lnbZ4610LxsyWXr9xcYgRn60fEKYWMlHoSUXu1iWeOdIo608bcgvLUUqhMIr3adQF3OYW4yGdgZc&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af_cpcXR3XiNcE4DlAF_w8yfNINPGuKbJuJIyxj5iDRHPQ&oe=6A2783DD,,4:5,,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,922231377529463,Active,14 May 2026,,Video,1,0,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/687777673_978393087972168_4224163355945472425_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=x_6p4vb9avQQ7kNvwEEM1Sf&_nc_oc=Adpk07mfoCWMg-RqjnPJiVPrlGhUj4xHnjyJkHi0wR7UPbnXtMJdywM1th3WCc__nc5oeief0mlERgfQ-A3s2jjU&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af8o_zr3YYRKQax6jmPi5SPv1m9B40u8OeL7rw6oVKjo9A&oe=6A278506,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQM6WPhhAwGTer5LNZc3YIf3KUnpa2GDUMtk9FYN4yUmKv5X38GSSqcI_igvCdCTf_QwnDEE9_FCv36MWjvJUojBmKADBVUrNFpt0THWFw.mp4?_nc_cat=106&_nc_oc=Adr4DqGaXSVXkmnk262CJdzRu40iPc8ghbX8lYfhyT0003mg8Yqo0ZGZjXd8CgdtzhJO4KwzWZ8Z4q6-CSy7Jc5R&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=R56GKDf4FKoQ7kNvwFbz2Do&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTU0NDU5NDAwNzE4MzcxNywiYXNzZXRfYWdlX2RheXMiOjMzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9359FAIyOLOl2qyX5adg_MHQxWEGDXZ7ScnrQLmBl0wg&oe=6A277694,9:16,,,,,,https://www.facebook.com/appEWA/,,4,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,1566699294391528,Active,5 Apr 2026,,Video,1,0,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/666478614_1273891251377100_7808280492367422672_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LjLxKzl5nNUQ7kNvwE-IEnH&_nc_oc=Ado9-CsE719d56K2plc7xFUi2YmHaegIZDV3zfdom9Z6GPs1KF5V_9O2QAcsSvT4moE1qKAhOC4BwyNv-W9aNZPC&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af8JhdVGHikRKBJozwvCZ46tYRxwuEb5KnZxQjpWA6Axaw&oe=6A27808B,https://scontent.fblr1-8.fna.fbcdn.net/o1/v/t2/f2/m412/AQMFf7EjTmpCmkBlU9FxVkoUeJJC2cOdURU_TPvgEEq2T4NYYCa1Jojfg13xrdCONifOa5gyn5hbctst3lOq7FCS5L2YrIltuNZei43PlQ.mp4?_nc_cat=110&_nc_oc=Ado-4dThiE8V5kYTO6BD-HLRhNFFSQjasd0SxWeTwjAcSlQmenWp2B1sp6Tr9nKFOExGkMoZfcXxetSgvRDQhrzz&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-8.fna.fbcdn.net&_nc_ohc=sCUjzqrSIeEQ7kNvwFSdlkG&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTcwMzA0NzI0NDQ0MDM4OSwiYXNzZXRfYWdlX2RheXMiOjYwLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-tMdcm2oiRpvSlvfbty2jiQ98yk2lkBj8Pk-G91VS-dQ&oe=6A277AE4,9:16,,,,,,https://www.facebook.com/appEWA/,,7,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,2185572212211330,Active,28 May 2026,,Video,1,0,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/710537795_1993381718235677_8059612732370355712_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=TdAVJw6PQaEQ7kNvwGQ2rYY&_nc_oc=AdqhIeqCR3Tnlr3BHpPh2mFaW8mkKZQOTpf_7PoIxtPHgV7vGS14HXk1YsMH2jPNoWLBCxzvpgJcECNe0vB6Y6VE&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af946AYIxXHcZDxWohtPWT426GSmow6fgTxHrw7tbHMH2w&oe=6A2756E2,https://scontent.fblr1-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQM8-KFulU416G2A-DSm1VwVm0Gtc0Hj3HUGJ6TabXXO7tFjY4RKXKkpqUkbiFOq7hLU5qXMR6J4F4lbTTcKO3t75eGRmOq9eCsgDwpzJA.mp4?_nc_cat=107&_nc_oc=AdpwSUvs_wqkPDdvKWWF5CYeL0YmoFQteCaZ0whzq5v3w0vnvrMvueQ5kvq9mvWt0npk49shSLWiea3KKgHCog0q&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-3.fna.fbcdn.net&_nc_ohc=eRflqicotL8Q7kNvwF_bHHs&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MzA1NjUzOTI1NDU0MDA5NiwiYXNzZXRfYWdlX2RheXMiOjIxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8wbthBVKewEBnH3_HSFwhux3lUq7pSkwUJW0-_OX4nzw&oe=6A2778F7,9:16,,,,,,https://www.facebook.com/appEWA/,,5,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,1355420443159265,Active,18 May 2026,,Video,1,0,https://scontent.fblr1-5.fna.fbcdn.net/v/t39.35426-6/698719943_2681384302232457_4518429678318656340_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=8hop6RLh2MIQ7kNvwERArWO&_nc_oc=AdoUEW104SsIy2ZpMx1nti7wQn6Vyq6A-ny8xbp1LUkzPUKx8hQCb6EIET8MN_keGFCkxQ5c9tptw7ql52iAQRRT&_nc_zt=14&_nc_ht=scontent.fblr1-5.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af9aoa7ao_gWECLah46Kn5-TN0NGOJKuzV6YdAV5Wo5uOA&oe=6A2756AB,https://scontent.fblr1-5.fna.fbcdn.net/o1/v/t2/f2/m412/AQMnfoQpexzY6izoeMvRTSOUcyBrHuqQNlXQF6BYxgerzWP-BdUEM5x21m_i8NfCEptkT6AH9YzOWCHcHTfSMNPQUdepb48hpHgZUoTT6Q.mp4?_nc_cat=111&_nc_oc=AdqDRk7EncbYILfOf9FeKPJ6ctAdKzlZK_kiTBZUm4XUJ-F3TiWkmEtujTOIR1uAphFtn7gMgn5giKoy81h1ERlh&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-5.fna.fbcdn.net&_nc_ohc=Pkl2Vhe-x6IQ7kNvwG8y9CF&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NzAzMzM2NjEyODAyMzA1LCJhc3NldF9hZ2VfZGF5cyI6ODMsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjo3MywidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af-6CFq69MVtOe2WZtJWtI1OAEAbTAMb5DleJ4zuwNu_jQ&oe=6A275CE3,4:5,,,,,,https://www.facebook.com/appEWA/,,2,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,929500366715259,Active,25 May 2026,,Image,1,0,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/707434677_1313299847558229_5887959990878511461_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=v-RiSCoNz_UQ7kNvwHLt0dq&_nc_oc=Adql-aKFPjt5FtrYVf6_uq8lLYPfpHlseAKH0kz3wpVNRth5gmQwQa9NfDAJ_uonHxZoYmRsA3TGoyjP6lKhpmGm&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af-Md7dPbOdK4bOfyuo7Wg9UFRVKDYqO1r-vRd02--km0w&oe=6A278163,,4:5,,,,,,https://www.facebook.com/appEWA/,,5,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,799604139603348,Active,23 Apr 2026,,Image,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/680493359_1572883604474858_1670499575289482910_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=aIQrYn6FKykQ7kNvwG2_Kqn&_nc_oc=AdpGadgRbLQcHTtBlPfu8fkpiQG709--8NdU8u1zhwkPFYE5AtUUZmfvqWtTKbzwFSvqGY7DXuTCAGwqN_CRBFRk&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af_6zSSwriKGAst0E9H9zNPPgGQTSnwFx02ezouq-mszdA&oe=6A276099,,4:5,Learn more,,,,,https://www.facebook.com/appEWA/,,1,true,,,2026-06-04T15:48:57.307Z
EWA,EWA: Learn Languages,165004157332215,IN,2136362423886748,Active,14 May 2026,,Image,1,0,https://scontent.fblr1-6.fna.fbcdn.net/v/t39.35426-6/675388467_970494838758638_8229677042501940356_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BYfIEh154oYQ7kNvwG_WYB3&_nc_oc=Adp7l9a-jLQ_Kn-Cd124yechfoF0NfAPIzanJntXJQVRdOs8zlPlb4SSSqD0DZRKT7FRtCa7kbF8Gyzle5EE_TWS&_nc_zt=14&_nc_ht=scontent.fblr1-6.fna&_nc_gid=U9qqGfrp4ioDXTBo6bwXaw&_nc_ss=7b2a8&oh=00_Af-l88GXyjxDC6TnaHQ1_6QfdeDW2t8Ab2EtPViA6cjX0g&oe=6A277514,,4:5,,,,,,https://www.facebook.com/appEWA/,,4,true,,,2026-06-04T15:48:57.307Z
