row_rank,page_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,version_index,version_id,version_start_date,version_end_date,version_primary_text,version_description,version_cta_label,version_destination_url,version_platforms_distribution,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,1,Duolingo,141935472517297,Duolingo,,IN,870791105586044,https://www.facebook.com/ads/library/?id=870791105586044,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-4.fna.fbcdn.net/v/t39.35426-6/640996173_2681682758876492_8630451909664325929_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=jP7tlkWFRXkQ7kNvwEIRdqK&_nc_oc=AdoqiFmDaO5s4cD_bpxtQlAoQNkFzJqBUXWXbJDQC5_T_s3OEOF5HrnPZjx4-YEpn2UlBKAkJ4wsma9GF01TLVL1&_nc_zt=14&_nc_ht=scontent.fblr20-4.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQAimFQFc9M2DcbXMp1q8_3im_vNhDryHC6N-GrK9L1p8Q&oe=6A5DFC75,2026-07-20T10:46:13.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/870791105586044.jpg
2,2,Duolingo,141935472517297,Duolingo,,IN,873410355318564,https://www.facebook.com/ads/library/?id=873410355318564,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQO2BCeeRVsAUSoclCmVl5egMP6x1xwT-C1j8RSBW78qOhSQvesVEMmc0s3-vh5I5Gqygp0B2pgR-nhsupPj_08lL8IFzvngctOoxnKYz10sNg.mp4?_nc_cat=102&_nc_oc=Adqay7wx4rvcFKsc-CzWzhZDkjNF9tABgPr7uvBkanXPH89f6GOUD6FjyN3BC7vVAW1wOk6mn3Gft5zu_ZtY8mIl&_nc_sid=b66105&_nc_ht=video.fblr20-2.fna.fbcdn.net&_nc_ohc=buePfnrB2k4Q7kNvwGmGsMB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjExNzU1MzM3NDM1MDUwMzEsImFzc2V0X2FnZV9kYXlzIjo2NTYsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=fffb0c98a9452aca&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC82MDQ3RTA4MTJFMjEyQzAyODQyQTAyQTQ1RDBDQURCRl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhgzZmJfcGVybWFuZW50LzM3NzgyMDcxNTM5NzkxNF84NDg3NDY4OTYyNTEzODE2MDUubXA0FQICyAESACgAGAAbAogHdXNlX29pbAExEnByb2dyZXNzaXZlX3JlY2lwZQExFQAAJo76n_OIyZYEFQIoAkMzLBdAPgAAAAAAABgZZGFzaF9oMjY0LWJhc2ljLWdlbjJfNzIwcBEAdQBltp4BAA&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&_nc_zt=28&oh=00_AQDqHc-vqw9rGTeXrFnXfeLLaxrkb2rFhzDrW2AAv8vO2g&oe=6A5DF126,https://scontent.fblr20-2.fna.fbcdn.net/v/t39.35426-6/641362394_2114864279265031_8874588552838349804_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=rO4lkVQchdoQ7kNvwEqyD_6&_nc_oc=AdpoO39sxEH1FCMihrEEU18D6TdHEP9VfIUfpCDQp46l6ybVaNVPwmUsiYAbF3tzyHEnWMdKJWG_pmx070Cr3khQ&_nc_zt=14&_nc_ht=scontent.fblr20-2.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQB-iIMs1prwFmkavqmdQ44xRu8pB9lRilpwl2ZUNbCZ6g&oe=6A5DFE97,2026-07-20T09:57:58.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/873410355318564.mp4
3,3,Duolingo,141935472517297,Duolingo,,IN,931440739227131,https://www.facebook.com/ads/library/?id=931440739227131,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-1.fna.fbcdn.net/o1/v/t2/f2/m366/AQNPrDVwB5-uXyipFsQTHBsEXlh0PtOEcPVkwNn0ooLwS3O-vWWo6Tqd4pLqwLG8ke7bje-RXxDFMDx07eZvO0b5Z4eKPnnGNL5BwnCA4pO_iQ.mp4?_nc_cat=110&_nc_oc=AdoxWL6CcMJqwUGoX_KtIaD6nQioilbboR36wiMGB4h_IeAyx5JREiH3HSPlGKuZe3mET0cK3Fifiont8M6TlJRH&_nc_sid=b66105&_nc_ht=video.fblr20-1.fna.fbcdn.net&_nc_ohc=FdvWikD8CEcQ7kNvwHb9ERC&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjgyODM1MzA2OTE3MjQ0MzcsImFzc2V0X2FnZV9kYXlzIjo2NTYsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=b3ee5376ce764802&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC81NDQ4Q0ZFQTVEODE2NkFEQzI3MTI1QTkxRDJCQTBBRF9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg1ZmJfcGVybWFuZW50LzEyNDMzMTk4NDAxODgxOTRfNzI2MDU3NDI3NTk1NDgyMjA5MC5tcDQVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmqpLuhfn0th0VAigCQzMsF0A-AAAAAAAAGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AGW2ngEA&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&_nc_zt=28&oh=00_AQDETByvLb9tq4EQZ8yQKkmw-IRjtfeoickrvg_S_3bSLA&oe=6A5E0E12,https://scontent.fblr20-5.fna.fbcdn.net/v/t39.35426-6/640453477_804170896031334_5683839880145814782_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=MilGbNQ9hzcQ7kNvwF2V3SZ&_nc_oc=AdrZUQFoUMaI14T8EI1QgRLb8EpEB-pffa_1ttLj6pbH6Cv3NlyFs6efE1onB5IRmeRpnTRQngT92v2Qz5Cvf84s&_nc_zt=14&_nc_ht=scontent.fblr20-5.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQDF4eaVdyPPML9n0jiJ9qnXBc3VxiVtpH41X_FiqmdgWg&oe=6A5DE548,2026-07-20T12:01:22.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/931440739227131.mp4
4,4,Duolingo,141935472517297,Duolingo,,IN,855822700785894,https://www.facebook.com/ads/library/?id=855822700785894,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/637184734_900534456204231_8448127877748197161_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=s4_j-Dc7kFEQ7kNvwEWEyZY&_nc_oc=AdqRWC9D7U_q9hIpClkEvMvUFmKYUofYCKWnTv-1WHVYOQk1QVNjScWWis3VfT-DHj92s-RMAbUi7HhracaHcuw7&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQCNsMVnm453SQaLvw_KHIwAhWBlyU1IFF-89ooGl8QqeQ&oe=6A5E05AF,2026-07-20T11:25:35.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/855822700785894.jpg
5,5,Duolingo,141935472517297,Duolingo,,IN,4420167301545944,https://www.facebook.com/ads/library/?id=4420167301545944,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/640277248_764518093011940_391721912953179864_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=FziaCF4_6rsQ7kNvwHu_mkf&_nc_oc=AdoipNV5r_91UX8hEecBQ0RtRI8UaQURfthtG_ZwZS3wGREjp3he7ww7sIsSm_RNEFy4iQTJVReVroWgJvxn2DSR&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQCZE3H6Ks3JFEqqo6KgRx2p21YKw_sAVLZFhSfBplHENw&oe=6A5DFE57,2026-07-20T10:54:15.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/4420167301545944.jpg
6,6,Duolingo,141935472517297,Duolingo,,IN,1393073786168344,https://www.facebook.com/ads/library/?id=1393073786168344,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-1.fna.fbcdn.net/v/t39.35426-6/638768675_1816198109068160_4370842215407111412_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=dy8PsLGK4AAQ7kNvwGPXukI&_nc_oc=AdrokKkgA5eW0YLiAew3Dr6I9BjyjkM3Skz7TtPFlO7KP7cntRVyleD6ImhUtRyyIMkGHD367EXuoZoYKEyJf0ta&_nc_zt=14&_nc_ht=scontent.fblr20-1.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQDWO11ZZEB2dzpZvxQFCh1uFbaGLKJZDk-4pImJdilFyg&oe=6A5E105E,2026-07-20T12:11:10.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1393073786168344.jpg
7,7,Duolingo,141935472517297,Duolingo,,IN,854198787652805,https://www.facebook.com/ads/library/?id=854198787652805,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Image,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/639574892_887312747470458_3265648172061560719_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=gnJtBZVW6N0Q7kNvwEoYl3V&_nc_oc=AdoU90qbxWveAK7csqAMHeu6hqqUPzxym8rVSiVptiUs_zJCw7w5x3Yh6iHyi4hp4gWESfAiv4qDFUshPC_nyhef&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQApmEA-GhQwJE-gUbnREOjjRN4ZbBhidA8DIowruNSoIA&oe=6A5DF6DD,2026-07-20T10:22:21.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/854198787652805.jpg
8,8,Duolingo,141935472517297,Duolingo,,IN,1187219770066761,https://www.facebook.com/ads/library/?id=1187219770066761,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQPXr63EoupvenU7Z8h77VR8qrdPjVeXf2ftlG1v7RU-4NPD2ssPF9vp7C6R8UT1zI6aZSYV2ggH0uso2NP-sGhZgPiJ5dhvrgr58utRGYS1Yw.mp4?_nc_cat=111&_nc_oc=Adpo2OOF8IUZVCYR9sDDPndKRfHrlPb8PJe0SIhpuQZBrk978HVloNjpiHpGPR5le7j32GNiL-5_HYZeOugfJ_vM&_nc_sid=b66105&_nc_ht=video.fblr20-2.fna.fbcdn.net&_nc_ohc=hRi8MUy2GzwQ7kNvwHY0SBp&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjEyMjY5Njc0MTUzMDQyNTIsImFzc2V0X2FnZV9kYXlzIjo2NTYsInZpX3VzZWNhc2VfaWQiOjEwMTM5LCJkdXJhdGlvbl9zIjozMCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&vs=55a88811aef2f994&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC8yQzQyNTdBRjc0NDRBODc4MUQxMkZBNTY0QTBBNjQ4Nl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg1ZmJfcGVybWFuZW50LzExOTM4NTExOTE4NDc5MTNfMTk4MTY4MzgzMTcwNzQ2NDE2OC5tcDQVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm-MCFz_P6rQQVAigCQzMsF0A-AAAAAAAAGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AGW2ngEA&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&_nc_zt=28&oh=00_AQCv4iE9m3F-sRNxfyH55K066sw4rumfu7yUq5awoZ-zRQ&oe=6A5DF1D1,https://scontent.fblr20-3.fna.fbcdn.net/v/t39.35426-6/638795366_1234627685316239_6162326310709086449_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=iB-HgiRu-dEQ7kNvwEI9Lg7&_nc_oc=AdoNoZ_D4T52kMTdqeXHwqZPc7tAVsIFSpBjrok7uNA25msYrq9qtQ9ZLV_WmKLDfdD7bPQPVWEeulkCf0O8GIl1&_nc_zt=14&_nc_ht=scontent.fblr20-3.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQAdZNyfPPFvNRGWBvPqCB5hHu-55fKaw-NX0bmsKL2BDQ&oe=6A5E085F,2026-07-20T10:00:49.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1187219770066761.mp4
9,9,Duolingo,141935472517297,Duolingo,,IN,1428449025623778,https://www.facebook.com/ads/library/?id=1428449025623778,2026-02-05,,false,false,1,0,,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,1:1,https://video.fblr20-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQMM_1BH_N2PtmgDX6b-Dqth9h_q940aATAPaQJuEWD0wnk8LucwwmE4e6U71TVb8acYQJk3Myw53xvYo4_NLnNj9yytmZZLOrm-_BAVeuQgCw.mp4?_nc_cat=111&_nc_oc=AdoOeRDgMPi0kw_xZYQiD5DmkAHD4yUjx9u2HSeviwWVjaHJilkhsEw6BybVUo-JiAJB6QgCsguhljYyWXoK4z4o&_nc_sid=b66105&_nc_ht=video.fblr20-2.fna.fbcdn.net&_nc_ohc=5_j8OPh3t5kQ7kNvwGekUYj&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjUxMDQ3NjYyODU0NTYxMiwiYXNzZXRfYWdlX2RheXMiOjY1NiwidmlfdXNlY2FzZV9pZCI6MTAxMzksImR1cmF0aW9uX3MiOjMwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=91a2ee12c2eeac88&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9CRDQxNURDM0NBNjFCMzY4NDk5Q0Y3RTJEQUI4Q0VCMl9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg1ZmJfcGVybWFuZW50LzE0NDA4MjIxMjMyNjc0MzhfMTM4OTExNzI5NTYxMTAxNDY1OS5tcDQVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmmMHiodOR6AEVAigCQzMsF0A-AAAAAAAAGBlkYXNoX2gyNjQtYmFzaWMtZ2VuMl83MjBwEQB1AGW2ngEA&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&_nc_zt=28&oh=00_AQAZr1PSY3Yz4VejP_1gjwEUxynMrCW1IG_zV5JUmn-j6g&oe=6A5DF79D,https://scontent.fblr20-1.fna.fbcdn.net/v/t39.35426-6/641503860_2501712786944960_3682751630886505851_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=I__6-7vrGCgQ7kNvwGGwCWx&_nc_oc=AdqLnag-qh_XXWhmOFzfC_GQPxE8CEKSc4sE5qnQUJbDbucAIjFILaXlcvqCnnPgJAgpT2Y8FT3No5Q5TlDfa_pp&_nc_zt=14&_nc_ht=scontent.fblr20-1.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQA8u6LBla_lmAqdmWQJDCjNI3NtFkJCIIsS47xsok_dpg&oe=6A5E0064,2026-07-20T10:25:33.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1428449025623778.mp4
10,10,Duolingo,141935472517297,Duolingo,,IN,862072036697076,https://www.facebook.com/ads/library/?id=862072036697076,2026-02-05,,false,true,2,0,862072036697076,2026-02-05,,Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,"Facebook,Instagram,Audience Network,Messenger,Threads",Duolingo is the world's #1 language learning app,Free language learning,Install now,http://play.google.com/store/apps/details?id=com.duolingo,Video,"Facebook,Instagram,Audience Network,Messenger,Threads",1,0,9:16,https://video.fblr20-4.fna.fbcdn.net/o1/v/t2/f2/m366/AQPQobnQHPZpN7yxZy5nV5zvSlFdb1cgBSJColvzfXhfbiCAapOlxjAm01jZ4r1Q5BM84EkjVnFUL8uenkGLlznMb2QVwBntHyRLcNk9feraqQ.mp4?_nc_cat=103&_nc_oc=AdoA64aQVVftXFx5chLOaMqHuBeOSZHnjI89AggBX8TCsQPhjrKA_GTOSj2h1xdfs-F6nKDJc94cEt5mYnWAZfDS&_nc_sid=b66105&_nc_ht=video.fblr20-4.fna.fbcdn.net&_nc_ohc=alxg7PvJXJsQ7kNvwEBemke&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuNzIwLmRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHAiLCJ4cHZfYXNzZXRfaWQiOjY1NjY1ODU3MDMzMzcwNCwiYXNzZXRfYWdlX2RheXMiOjQ1MCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjMwLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=344914c6cbc4878&_nc_vs=HBksFQIYRWZiX2VwaGVtZXJhbC9FMTQwODRGRTY1REUyNTZCNTYyMThDOTYxRjk1RDNBQV9tdF8xX3ZpZGVvX2Rhc2hpbml0Lm1wNBUAAsgBEgAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dDbDRTeDBHQ2lzc1AwWUVBQnZEMW1lcHhTOTBidjRHQUFBRhUCAsgBEgAoABgAGwKIB3VzZV9vaWwBMRJwcm9ncmVzc2l2ZV9yZWNpcGUBMRUAACaQuJbNx86qAhUCKAJDMywXQD4AAAAAAAAYGWRhc2hfaDI2NC1iYXNpYy1nZW4yXzcyMHARAHUAZd6oAQA&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&_nc_zt=28&oh=00_AQDEOwl4CnQ6xo3YIAh9UtU2KKVh0GxFq6Kr7Kq7ljha2w&oe=6A5DEBC1,https://scontent.fblr20-4.fna.fbcdn.net/v/t39.35426-6/640863779_886112040715506_1715535586484828162_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=cxZ7klYm68sQ7kNvwFQ7r3Q&_nc_oc=AdpKCPcE31Ta98Qf9X40XXYFHROGR2FunsyArkhlce-08txTLnK6YNkGkuQplsfDqtKz6WB5bTNyDrNybTCBQREV&_nc_zt=14&_nc_ht=scontent.fblr20-4.fna&_nc_gid=jJX2e5reQq6C5df8Tpl8gA&_nc_ss=7f289&oh=00_AQAt5gBn4Eys0Y6pHIdHgY0mLe3R2P4FsvMesJ7n6O61AQ&oe=6A5E1071,2026-07-20T09:34:57.000Z,2026-07-16,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/862072036697076.mp4
